title,short_desc,category,prize,tags,kernels_comp,submission_details,teams_entered,deadline
TMDB Box Office Prediction,Can you predict a movie's worldwide box office revenue?,Playground,Knowledge," tabular data, film",NA,NA,1400,2019-05-30
Don't Overfit! II,A Fistful of Samples,Playground,Swag," tabular data, binary classification",NA,NA,2330,2019-05-04
Ciphertext Challenge II,553398 418126 467884 411 374106 551004 356535 539549 487091 290502 121468 556912 469347 515719 201909 101,Playground,Swag," text data, internet",NA,NA,75,2019-05-04
Data Science for Good: CareerVillage.org,Match career advice questions with professionals in the field,Analytics,"$15,000"," children, education",NA,NA,NA,2019-05-04
Gendered Pronoun Resolution,Pair pronouns to their correct entities,Research,"$25,000"," text data, nlp",NA,NA,838,2019-05-04
CareerCon 2019 - Help Navigate Robots,Compete to get your resume in front of our sponsors,Recruitment,Swag," tabular data, signal processing, robotics",NA,NA,1449,2019-04-04
Santander Customer Transaction Prediction,Can you identify who will make a transaction?,Featured,"$65,000"," banking, tabular data, binary classification",NA,NA,8802,2019-04-04
Google Cloud & NCAA® ML Competition 2019-Men's,Apply Machine Learning to NCAA® March Madness®,Featured,"$25,000"," basketball, sports",NA,NA,866,2019-04-04
Google Cloud & NCAA® ML Competition 2019-Women's,Apply Machine Learning to NCAA® March Madness®,Featured,"$25,000"," basketball, sports",NA,NA,500,2019-04-04
Histopathologic Cancer Detection,Identify metastatic tissue in histopathologic scans of lymph node sections,Playground,Knowledge," oncology and cancer, research, medicine",NA,NA,1157,2019-04-04
VSB Power Line Fault Detection,Can you detect faults in above-ground electrical lines?,Featured,"$25,000"," signal processing, tabular data, binary classification",NA,NA,1451,2019-04-04
Humpback Whale Identification,Can you identify a whale by its tail?,Featured,"$25,000"," image data, animals",NA,NA,2131,2019-03-04
Elo Merchant Category Recommendation,Help understand customer loyalty,Featured,"$50,000"," banking, tabular data, regression",NA,NA,4129,2019-03-04
Google Analytics Customer Revenue Prediction,Predict how much GStore customers will spend,Featured,"$45,000"," regression, tabular data",NA,NA,3611,2019-03-04
20 Newsgroups Ciphertext Challenge,V8g{9827$A${?^*?}$$v7*.yig$w9.8},Playground,Swag," text data, multiclass classification",NA,NA,142,2019-01-02
Human Protein Atlas Image Classification,Classify subcellular protein patterns in human cells,Featured,"$37,000"," classification, image data",NA,NA,2172,2019-01-02
Traveling Santa 2018 - Prime Paths,"But does your code recall, the most efficient route of all?",Featured,"$25,000"," mathematical optimization, optimization",NA,NA,1874,2019-01-02
NFL Punt Analytics Competition,Analyze NFL game data and suggest rules to improve player safety during punt plays,Analytics,"$80,000"," health, american football, sports, safety",NA,NA,NA,2019-01-02
PLAsTiCC Astronomical Classification,Can you help make sense of the Universe?,Featured,"$25,000"," time series, astronomy, tabular data",NA,NA,1094,2018-12-03
"Quick, Draw! Doodle Recognition Challenge",How accurately can you identify a doodle?,Featured,"$25,000"," writing, image data",NA,NA,1316,2018-12-03
Don't call me turkey!,Thanksgiving Edition: Find the turkey in the sound bite,Playground,Swag," binary classification, sound technology, tabular data, animals",NA,NA,267,2018-12-03
Airbus Ship Detection Challenge,Find ships on satellite images as quickly as possible,Featured,"$60,000"," image data, object detection, object segmentation",NA,NA,883,2018-11-03
Inclusive Images Challenge,Stress test image classifiers across new geographic distributions,Research,"$25,000"," image data, multiclass classification",NA,NA,468,2018-11-03
RSNA Pneumonia Detection Challenge,Can you build an algorithm that automatically detects potential pneumonia cases?,Featured,"$30,000"," image data, medicine",NA,NA,1499,2018-11-03
TGS Salt Identification Challenge,Segment salt deposits beneath the Earth's surface,Featured,"$100,000"," image data, geology",NA,NA,3234,2018-10-03
New York City Taxi Fare Prediction,Can you predict a rider's taxi fare?,Playground,Knowledge," tabular data, regression",NA,NA,1488,2018-10-03
Home Credit Default Risk,Can you predict how capable each applicant is of repaying a loan?,Featured,"$70,000"," home, banking, tabular data",NA,NA,7198,2018-09-03
Santander Value Prediction Challenge,Predict the value of transactions for potential customers.,Featured,"$60,000"," finance, banking",NA,NA,4484,2018-09-03
TrackML Particle Tracking Challenge,High Energy Physics particle tracking in CERN detectors,Featured,"$25,000"," physics, tabular data",NA,NA,653,2018-08-03
The 2nd YouTube-8M Video Understanding Challenge,Can you create a constrained-size model to predict video labels?,Featured,"$25,000"," video data, object labeling",NA,NA,312,2018-08-03
